source,lang,edit_history_tweet_ids,created_at,text,id,author_id,public_metrics,cleaned_text,Tweet_tokenized
Twitter for iPhone,en,['1578844415463784453'],2022-10-08T20:26:56.000Z,@_AVMR_ @aarongreenberg @Walmart @Xbox That happens to mine every two days. Ice at the top of the unit inside. Makes it unusable,1578844415463784453,21371591,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",AVMR aarongreenberg Walmart Xbox That happens mine every days unit inside Makes unusable,"['avmr', 'aarongreenberg', 'walmart', 'xbox', 'that', 'happens', 'mine', 'every', 'days', 'unit', 'inside', 'makes', 'unusable']"
Twitter for Android,en,['1578844392596856832'],2022-10-08T20:26:51.000Z,RT @TalbertSwan: The Black delegation will trade Kanye West and Herschel Walker for a Walmart gift card.,1578844392596856832,804444027428945920,"{'retweet_count': 3597, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TalbertSwan Black delegation will trade Kanye West Herschel Walker Walmart gift card,"['talbertswan', 'black', 'delegation', 'will', 'trade', 'kanye', 'west', 'herschel', 'walker', 'walmart', 'gift', 'card']"
Twitter for iPhone,en,['1578844384111448064'],2022-10-08T20:26:49.000Z,@satelitefreak Walmart had free cookies???,1578844384111448064,2790600106,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",satelitefreak Walmart free cookies,"['satelitefreak', 'walmart', 'free', 'cookies']"
Twitter for Android,en,['1578844331938435072'],2022-10-08T20:26:36.000Z,RT @TalbertSwan: The Black delegation will trade Kanye West and Herschel Walker for a Walmart gift card.,1578844331938435072,254393760,"{'retweet_count': 3597, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TalbertSwan Black delegation will trade Kanye West Herschel Walker Walmart gift card,"['talbertswan', 'black', 'delegation', 'will', 'trade', 'kanye', 'west', 'herschel', 'walker', 'walmart', 'gift', 'card']"
Twitter for iPhone,en,['1578844327857750017'],2022-10-08T20:26:35.000Z,I miss when Walmart had free cookies,1578844327857750017,1199925608312164353,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",miss when Walmart free cookies,"['miss', 'when', 'walmart', 'free', 'cookies']"
Twitter for iPhone,en,['1578844304470343680'],2022-10-08T20:26:30.000Z,RT @TalbertSwan: The Black delegation will trade Kanye West and Herschel Walker for a Walmart gift card.,1578844304470343680,1074027064762740742,"{'retweet_count': 3597, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TalbertSwan Black delegation will trade Kanye West Herschel Walker Walmart gift card,"['talbertswan', 'black', 'delegation', 'will', 'trade', 'kanye', 'west', 'herschel', 'walker', 'walmart', 'gift', 'card']"
Twitter for iPhone,en,['1578844291732238336'],2022-10-08T20:26:27.000Z,"RT @TroyIsZaddy: Need anything from Walmart babe? 

Her: https://t.co/2eSfQ6tvmt",1578844291732238336,1135987940860071937,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TroyIsZaddy Need anything from Walmart babe httpstco2eSfQ6tvmt,"['troyiszaddy', 'need', 'anything', 'from', 'walmart', 'babe', 'httpstco2esfq6tvmt']"
Twitter for iPhone,en,['1578844264121118721'],2022-10-08T20:26:20.000Z,@umm5ibns I seen it on Walmart for like $500,1578844264121118721,395650749,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",umm5ibns seen Walmart like,"['umm5ibns', 'seen', 'walmart', 'like']"
Twitter for Android,en,['1578844257795813376'],2022-10-08T20:26:19.000Z,Holy shit! A PS5 sighting in the wild at my local Walmart. https://t.co/8jQYU9iIiY,1578844257795813376,3070372837,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Holy shit sighting wild local Walmart httpstco8jQYU9iIiY,"['holy', 'shit', 'sighting', 'wild', 'local', 'walmart', 'httpstco8jqyu9iiiy']"
Twitter for iPhone,en,['1578844228012019712'],2022-10-08T20:26:12.000Z,RT @TalbertSwan: The Black delegation will trade Kanye West and Herschel Walker for a Walmart gift card.,1578844228012019712,292788635,"{'retweet_count': 3597, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TalbertSwan Black delegation will trade Kanye West Herschel Walker Walmart gift card,"['talbertswan', 'black', 'delegation', 'will', 'trade', 'kanye', 'west', 'herschel', 'walker', 'walmart', 'gift', 'card']"
